98	25	1
98	25	1
98	25	1
98	25	1
98	25	1
98	25	1
98	25	1
98	25	1
98	24	1
98	25	1
98	25	1
98	24	1
98	24	1
98	25	1
98	25	1
98	25	1
98	24	1
98	26	1
103	26	1
103	27	1
98	28	1
98	28	1
103	27	1
103	27	1
98	31	1
103	27	1
103	27	1
103	28	1
103	28	1
103	26	1
103	27	1
98	26	1
103	25	1
103	25	1
103	25	1
98	24	1
103	27	1
103	25	1
103	24	1
103	26	1
103	25	1
95	25	1
100	28	1
95	24	1
95	24	1
95	25	1
100	27	1
95	25	1
95	26	1
100	25	1
100	26	1
100	25	1
100	25	1
100	25	1
100	25	1
100	25	1
96	27	1
100	27	1
100	25	1
100	25	1
100	25	1
90	26	1
90	27	1
100	25	1
100	25	1
100	25	1
90	27	1
90	27	1
90	27	1
106	128	1
105	145	1
105	112	1
105	67	1
105	114	1
105	112	1
105	54	1
116	39	1
116	52	1
116	42	1
112	69	1
119	29	1
116	87	1
116	37	1
112	93	1
112	179	1
112	137	1
100	28	1
100	27	1
100	28	1
100	27	1
119	28	1
119	54	1
119	116	1
119	115	1
115	102	1
116	73	1
116	31	1
112	181	1
100	28	1
100	27	1
100	27	1
100	27	1
119	29	1
119	91	1
120	183	1
119	159	1
115	128	1
116	73	1
115	41	1
112	188	1
112	187	1
112	154	1
100	28	1
100	27	1
100	26	1
100	27	1
119	45	1
116	58	1
115	36	1
100	28	1
100	27	1
100	27	1
102	28	1
96	27	1
119	53	1
119	107	1
116	68	1
116	29	1
115	37	1
112	166	1
112	153	1
100	26	1
96	27	1
96	26	1
120	59	1
119	116	1
115	33	1
112	109	1
112	141	1
119	154	1
119	35	1
96	26	1
119	29	1
96	25	1
96	27	1
119	35	1
96	25	1
96	25	1
96	27	1
119	54	1
96	26	1
96	25	1
96	26	1
95	26	1
95	25	1
95	26	1
95	25	1
101	65	1
101	84	1
101	206	1
103	141	1
103	56	1
103	79	1
101	145	1
101	247	1
103	192	1
101	53	1
103	59	1
103	28	1
121	32	1
121	28	1
103	56	1
101	66	1
103	83	1
103	167	1
103	206	1
103	184	1
103	53	1
103	53	1
103	30	1
121	36	1
121	45	1
121	45	1
119	38	1
119	38	1
119	35	1
111	49	1
103	27	1
103	70	1
103	79	1
101	69	1
103	121	1
103	174	1
103	162	1
103	50	1
103	50	1
103	43	1
121	46	1
121	31	1
121	88	1
121	88	1
128	65	1
193	66	1
0	64	1
0	84	1
2	87	1
3	80	1
41	84	1
130	65	1
130	65	1
149	66	1
106	74	1
84	86	1
93	86	1
68	86	1
44	66	1
95	86	1
103	86	1
54	86	1
42	66	1
131	61	1
109	61	1
83	67	1
127	61	1
113	61	1
122	61	1
108	76	1
94	76	1
190	61	1
151	70	1
145	68	1
112	78	1
114	54	1
109	54	1
129	38	1
147	60	1
135	60	1
94	61	1
99	61	1
96	61	1
155	59	1
140	69	1
131	69	1
142	69	1
124	68	1
104	59	1
153	52	1
144	65	1
121	65	1
109	65	1
151	60	1
